ENST00000566782.1	ENSG00000261657	SLC25A26
ENST00000397387.2	ENSG00000214051	ARF4P3
ENST00000419457.1	ENSG00000233588	CYP51A1P2
ENST00000436722.1	ENSG00000229599	LINC00411
ENST00000422362.1	ENSG00000236339	POM121L13P
ENST00000606869.1	ENSG00000272349	RP11-397O8.7
ENST00000408743.1	ENSG00000221670	AL596092.1
ENST00000364285.1	ENSG00000201155	RNU1-24P
ENST00000434779.1	ENSG00000236758	MTUS2-AS2
ENST00000400214.2	ENSG00000215399	HMGB3P7
ENST00000581814.1	ENSG00000265164	MIR2681
ENST00000425504.1	ENSG00000223460	GAPDHP69
ENST00000415870.1	ENSG00000229975	LIPT1P1
ENST00000605701.1	ENSG00000270680	RP11-351N4.4
ENST00000364820.1	ENSG00000201690	RNY1P2
ENST00000323380.5	ENSG00000179141	MTUS2-AS1
ENST00000577547.1	ENSG00000264482	MIR4705
ENST00000447779.1	ENSG00000236860	RPL39P29
ENST00000452384.1	ENSG00000236258	TIMM8BP1
ENST00000453470.2	ENSG00000224329	LINC00297
ENST00000607251.1	ENSG00000243319	FGF14-IT1
ENST00000450264.1	ENSG00000224405	LINC00572
ENST00000451630.1	ENSG00000234445	FGF14-AS1
ENST00000400540.1	ENSG00000122043	LINC00544
ENST00000606448.1	ENSG00000272143	FGF14-AS2
ENST00000585222.1	ENSG00000266505	RP11-629E24.2
ENST00000418923.2	ENSG00000270581	RP11-811P12.3
ENST00000569288.1	ENSG00000261057	LINC00555
ENST00000413591.1	ENSG00000224511	LINC00365
ENST00000602560.1	ENSG00000269942	RP11-29B2.5
ENST00000437721.1	ENSG00000232117	LINC00384
ENST00000459526.1	ENSG00000238869	snoU13
ENST00000430111.1	ENSG00000231633	LINC00283
ENST00000435044.1	ENSG00000232643	LINC00385
ENST00000410369.1	ENSG00000222301	RNY5P8
ENST00000579551.1	ENSG00000266816	AL356750.1
ENST00000517119.1	ENSG00000252928	RNU6-64P
ENST00000605100.1	ENSG00000250878	METTL21EP
ENST00000450181.1	ENSG00000215049	PRDX2P1
ENST00000607072.1	ENSG00000272542	RP11-255P5.2
ENST00000412722.1	ENSG00000236463	LINC00427
ENST00000444795.1	ENSG00000234551	RP11-123H22.1
ENST00000415853.1	ENSG00000230474	ATP6V1G1P7
ENST00000455851.1	ENSG00000225823	RPL7P45
ENST00000448407.1	ENSG00000232307	DAOA-AS1
ENST00000447147.1	ENSG00000238121	LINC00426
ENST00000454555.2	ENSG00000226620	LINC00343
ENST00000420694.1	ENSG00000225039	LINC01058
ENST00000565780.1	ENSG00000261577	JUP
ENST00000516741.1	ENSG00000252550	SNORA25
ENST00000538122.1	ENSG00000236444	UBE2L5P
ENST00000410711.1	ENSG00000222643	AL603632.1
ENST00000410750.1	ENSG00000222682	RNA5SP38
ENST00000393978.2	ENSG00000213411	RBM22P2
ENST00000444865.1	ENSG00000233532	LINC00460
ENST00000442257.1	ENSG00000232489	MFAP1P1
ENST00000446059.1	ENSG00000174418	RPL35P9
ENST00000433704.1	ENSG00000224117	PTPN2P2
ENST00000607593.1	ENSG00000272274	LINC00551
ENST00000421601.2	ENSG00000230156	LINC00443
ENST00000414407.1	ENSG00000237879	LINC00398
ENST00000429024.1	ENSG00000227590	ATP5G1P5
ENST00000328558.3	ENSG00000174408	PPIAP24
ENST00000585870.1	ENSG00000224743	TEX26-AS1
ENST00000356139.1	ENSG00000196777	AL162574.1
ENST00000459108.1	ENSG00000239050	AL354741.1
ENST00000408389.1	ENSG00000221316	AL445204.1
ENST00000364977.1	ENSG00000201847	SNORD31
ENST00000408723.1	ENSG00000221650	MIR1267
ENST00000408546.2	ENSG00000221473	AL138710.1
ENST00000449551.1	ENSG00000227248	FAM155A-IT1
ENST00000411245.1	ENSG00000223177	RNA5SP39
ENST00000392864.2	ENSG00000232087	HCFC2P1
ENST00000412809.1	ENSG00000229938	MYO16-AS2
ENST00000440633.1	ENSG00000236094	LINC00545
ENST00000439299.1	ENSG00000236242	MYO16-AS1
ENST00000433788.1	ENSG00000238185	RP11-252M21.6
ENST00000455487.1	ENSG00000223617	LINC00370
ENST00000416002.1	ENSG00000230233	AF240627.2
ENST00000415283.1	ENSG00000230403	LINC01066
ENST00000432575.1	ENSG00000236053	LINC01067
ENST00000567301.1	ENSG00000261163	LEPREL4
ENST00000580069.1	ENSG00000265841	MIR548X
ENST00000425638.1	ENSG00000231894	WDR95P
ENST00000439008.1	ENSG00000229792	LINC00399
ENST00000408114.2	ENSG00000221041	AP001537.1
ENST00000416090.1	ENSG00000234854	LINC00676
ENST00000358455.4	ENSG00000198618	PPIAP22
ENST00000455755.1	ENSG00000229427	ANKRD26P4
ENST00000430722.2	ENSG00000255813	AL162497.1
ENST00000364291.1	ENSG00000201161	RN7SKP10
ENST00000411690.2	ENSG00000231428	LINC00396
ENST00000440372.1	ENSG00000232193	AL157359.4
ENST00000490410.1	ENSG00000229715	EEF1DP3
ENST00000449840.1	ENSG00000226204	AL157359.3
ENST00000577950.1	ENSG00000265885	RN7SL783P
ENST00000459093.1	ENSG00000238629	snoU13
ENST00000450653.2	ENSG00000235965	AP000431.1
ENST00000458403.2	ENSG00000224821	COL4A2-AS2
ENST00000441659.1	ENSG00000235822	LINC01073
ENST00000424219.1	ENSG00000229289	AP000431.2
ENST00000428419.1	ENSG00000237637	FRY-AS1
ENST00000417970.2	ENSG00000232814	COL4A2-AS1
ENST00000413933.1	ENSG00000226818	SLC6A6P1
ENST00000418076.1	ENSG00000230633	RP11-37E23.5
ENST00000545740.1	ENSG00000255831	AL139385.1
ENST00000433210.1	ENSG00000231620	AP000855.4
ENST00000400497.2	ENSG00000215515	IFIT1P1
ENST00000411449.1	ENSG00000225239	RPL21P107
ENST00000391307.1	ENSG00000212609	RNU1-139P
ENST00000569854.1	ENSG00000259831	LINC00567
ENST00000390991.1	ENSG00000212293	SNORA16
ENST00000448908.1	ENSG00000230198	RPL37P4
ENST00000461502.1	ENSG00000270008	RP11-298P3.4
ENST00000426991.1	ENSG00000229152	ANKRD10-IT1
ENST00000603349.1	ENSG00000271486	AP000403.3
ENST00000282964.5	ENSG00000229336	AP000568.2
ENST00000437678.1	ENSG00000229800	ATP8A2P2
ENST00000413631.1	ENSG00000227105	PARP1P1
ENST00000400117.2	ENSG00000215353	C1QBPP
ENST00000443479.1	ENSG00000233480	AP000946.2
ENST00000440735.1	ENSG00000225760	LINC00431
ENST00000436373.1	ENSG00000233236	AP001171.1
ENST00000422994.1	ENSG00000225870	LINC00368
ENST00000516042.1	ENSG00000251851	RNU6-772P
ENST00000517154.1	ENSG00000252963	RN7SKP147
ENST00000425094.2	ENSG00000235875	ARHGEF7-AS2
ENST00000384595.1	ENSG00000207325	RNY1P4
ENST00000425091.1	ENSG00000233676	FDPSP6
ENST00000421002.1	ENSG00000226968	LINC00423
ENST00000423329.1	ENSG00000233644	ARHGEF7-IT1
ENST00000447938.1	ENSG00000234439	KRT18P2
ENST00000435037.1	ENSG00000227352	ARHGEF7-AS1
ENST00000498134.1	ENSG00000227604	TOMM22P3
ENST00000413190.1	ENSG00000233206	RPS3AP1
ENST00000408750.2	ENSG00000221677	AL161898.1
ENST00000401043.3	ENSG00000215881	RP11-65D24.1
ENST00000456087.1	ENSG00000230300	STARD13-IT1
ENST00000568842.1	ENSG00000261258	FKBP10
ENST00000440860.1	ENSG00000226903	LINC00354
ENST00000437238.1	ENSG00000224924	LINC00320
ENST00000578654.1	ENSG00000264989	AL136302.1
ENST00000363202.1	ENSG00000200072	SNORD44
ENST00000567967.1	ENSG00000260385	RP11-450H6.3
ENST00000418660.1	ENSG00000229520	LINC00404
ENST00000448832.1	ENSG00000215351	PPIAP1
ENST00000421423.1	ENSG00000224243	LINC00403
ENST00000425058.1	ENSG00000226771	AP001136.2
ENST00000561786.1	ENSG00000260102	LINC01070
ENST00000408283.1	ENSG00000221210	AP001137.1
ENST00000428205.1	ENSG00000234730	AF241725.4
ENST00000565936.1	ENSG00000260343	LINC01043
ENST00000358086.1	ENSG00000198434	AF241725.1
ENST00000413637.1	ENSG00000223626	LINC01044
ENST00000416182.1	ENSG00000237527	AF241725.6
ENST00000582601.1	ENSG00000264726	AL162711.1
ENST00000446442.1	ENSG00000232684	ATP11A-AS1
ENST00000419069.1	ENSG00000238265	LINC00317
ENST00000443849.2	ENSG00000234603	AL356740.1
ENST00000609615.1	ENSG00000236581	STARD13-AS
ENST00000602192.1	ENSG00000267868	RP11-120K24.3
ENST00000338912.5	ENSG00000188403	IGHV1OR15-9
ENST00000446789.2	ENSG00000235280	MCF2L-AS1
ENST00000601559.1	ENSG00000269356	RP11-120K24.4
ENST00000430060.1	ENSG00000233997	AP000475.2
ENST00000598534.1	ENSG00000269376	RP11-120K24.5
ENST00000424635.1	ENSG00000231882	F10-AS1
ENST00000415696.1	ENSG00000230371	KARSP2
ENST00000558565.2	ENSG00000259490	IGHV3OR15-7
ENST00000600642.1	ENSG00000269125	RP11-98F14.11
ENST00000452500.1	ENSG00000227075	AP000472.3
ENST00000455730.2	ENSG00000232662	LDHBP1
ENST00000604642.1	ENSG00000270961	IGHD5OR15-5A
ENST00000419199.1	ENSG00000225083	GRTP1-AS1
ENST00000420255.1	ENSG00000233215	AP000472.2
ENST00000414992.1	ENSG00000233613	DCUN1D2-AS
ENST00000603326.1	ENSG00000271317	IGHD4OR15-4A
ENST00000365477.1	ENSG00000202347	RNU1-16P
ENST00000413535.1	ENSG00000227208	LINC00552
ENST00000604950.1	ENSG00000270783	IGHD3OR15-3A
ENST00000458001.1	ENSG00000233695	GAS6-AS1
ENST00000603077.1	ENSG00000271197	IGHD2OR15-2A
ENST00000608651.1	ENSG00000272695	GAS6-AS2
ENST00000419431.2	ENSG00000184856	LINC00308
ENST00000443576.3	ENSG00000227911	RP11-141M1.1
ENST00000449453.1	ENSG00000237699	RP11-199F6.4
ENST00000605284.1	ENSG00000271336	IGHD1OR15-1A
ENST00000577451.1	ENSG00000264288	AL138999.1
ENST00000580757.1	ENSG00000265259	RN7SL247P
ENST00000567084.1	ENSG00000260753	NT5C3B
ENST00000433524.1	ENSG00000234340	AP000705.8
ENST00000454681.2	ENSG00000230490	RP11-141M1.3
ENST00000390762.1	ENSG00000212051	MIR320C2
ENST00000609861.1	ENSG00000226921	LINC00454
ENST00000579347.1	ENSG00000264365	RP11-621L6.2
ENST00000608010.1	ENSG00000273321	RP11-621L6.3
ENST00000442716.1	ENSG00000234535	RP11-37L2.1
ENST00000452207.1	ENSG00000232986	RP11-179A7.2
ENST00000362766.1	ENSG00000199636	Y_RNA
ENST00000579049.1	ENSG00000265094	RP11-178F10.1
ENST00000516588.1	ENSG00000252397	RNU5A-4P
ENST00000408071.2	ENSG00000263663	AL161891.1
ENST00000451853.1	ENSG00000227254	VDAC1P12
ENST00000609661.1	ENSG00000229373	LINC00452
ENST00000362326.1	ENSG00000199196	SNORA25
ENST00000427390.2	ENSG00000215405	GOLGA6L6
ENST00000605909.1	ENSG00000271850	RP11-16D22.2
ENST00000428706.1	ENSG00000225179	LINC00457
ENST00000454567.1	ENSG00000231136	AP000705.6
ENST00000562710.1	ENSG00000260910	LINC00565
ENST00000606365.1	ENSG00000271901	RP11-266E6.3
ENST00000365469.1	ENSG00000202339	RNU4-45P
ENST00000454005.1	ENSG00000232487	RASA3-IT1
ENST00000444130.1	ENSG00000226043	AP000705.7
ENST00000430917.1	ENSG00000231910	GAMTP2
ENST00000582191.1	ENSG00000264539	MIR548AR
ENST00000568811.1	ENSG00000261728	RP11-307O13.1
ENST00000379571.3	ENSG00000223488	MAPK6PS2
ENST00000580432.1	ENSG00000265450	MIR4502
ENST00000439854.1	ENSG00000232795	SCAND3P1
ENST00000392050.2	ENSG00000226158	CLCP2
ENST00000453244.1	ENSG00000234835	PHBP13
ENST00000446989.1	ENSG00000229723	LINC01054
ENST00000595502.1	ENSG00000268343	AC012414.1
ENST00000408592.1	ENSG00000221519	AL390071.1
ENST00000456848.1	ENSG00000236036	LINC00445
ENST00000384474.1	ENSG00000207203	RNU6-71P
ENST00000559480.1	ENSG00000169861	IGHV1OR21-1
ENST00000581522.1	ENSG00000266047	AL139377.1
ENST00000448609.1	ENSG00000223383	HIST1H2APS6
ENST00000410670.1	ENSG00000222602	AL136160.1
ENST00000432112.2	ENSG00000235306	GAPDHP34
ENST00000453620.1	ENSG00000223543	TCEAL4P1
ENST00000400435.3	ENSG00000215486	ARL2BPP3
ENST00000568725.1	ENSG00000261631	KLHL10
ENST00000454856.4	ENSG00000230031	POTEB2
ENST00000605569.1	ENSG00000271337	NDE1P2
ENST00000437983.2	ENSG00000236711	SMAD9-AS1
ENST00000428620.1	ENSG00000228825	LAMTOR3P1
ENST00000421928.1	ENSG00000232378	RPL29P28
ENST00000428062.1	ENSG00000226161	EIF4A1P5
ENST00000408173.1	ENSG00000221100	AL138706.1
ENST00000365525.1	ENSG00000202395	RN7SKP1
ENST00000412619.1	ENSG00000230283	RPS12P24
ENST00000441759.1	ENSG00000234034	AP000959.2
ENST00000414480.1	ENSG00000230390	LINC01048
ENST00000581405.1	ENSG00000263796	RN7SL609P
ENST00000362406.1	ENSG00000199276	RNA5SP26
ENST00000438328.1	ENSG00000225906	AP000949.1
ENST00000420325.1	ENSG00000228036	HSPD1P9
ENST00000421604.1	ENSG00000230972	AP001255.2
ENST00000569845.1	ENSG00000259896	KLHL11
ENST00000454060.1	ENSG00000223685	LINC00571
ENST00000406845.1	ENSG00000219368	ZNF299P
ENST00000414161.1	ENSG00000236354	LINC00437
ENST00000445341.1	ENSG00000231058	MSANTD2P1
ENST00000441430.1	ENSG00000229437	LINC00366
ENST00000411146.1	ENSG00000223078	RNU2-55P
ENST00000447765.1	ENSG00000234701	PRDX3P3
ENST00000262354.4	ENSG00000228592	AP000459.4
ENST00000516986.1	ENSG00000252795	RNU6-56P
ENST00000390760.1	ENSG00000212049	AL590007.1
ENST00000604446.1	ENSG00000270824	IGHD5OR15-5B
ENST00000448887.1	ENSG00000225350	FREM2-AS1
ENST00000424744.1	ENSG00000225221	PLA2G12AP2
ENST00000603693.1	ENSG00000270451	IGHD4OR15-4B
ENST00000445530.1	ENSG00000235550	ANKRD26P2
ENST00000447052.1	ENSG00000223822	EEF1A1P1
ENST00000603935.1	ENSG00000271255	IGHD3OR15-3B
ENST00000458481.1	ENSG00000214823	NXT1P1
ENST00000604102.1	ENSG00000271305	IGHD2OR15-2B
ENST00000459206.1	ENSG00000238408	snoU13
ENST00000401195.1	ENSG00000216014	AL512505.1
ENST00000583252.1	ENSG00000264171	MIR4305
ENST00000425085.1	ENSG00000237569	TUBAP
ENST00000363656.1	ENSG00000200526	RNY4P14
ENST00000418361.2	ENSG00000224351	CDKN2AIPNLP3
ENST00000559471.1	ENSG00000138593	SECISBP2L
ENST00000603479.1	ENSG00000270444	AZU1P1
ENST00000391251.1	ENSG00000212553	SNORD116
ENST00000604838.1	ENSG00000270185	IGHD1OR15-1B
ENST00000455241.1	ENSG00000230710	LINC00332
ENST00000605218.1	ENSG00000271429	RPL17P51
ENST00000384727.1	ENSG00000207458	RNY3P9
ENST00000594169.1	ENSG00000268531	DKFZP547L112
ENST00000400432.3	ENSG00000230058	RP11-172E9.2
ENST00000517003.1	ENSG00000252812	RN7SKP2
ENST00000400430.2	ENSG00000215483	LINC00598
ENST00000339626.5	ENSG00000229456	RLIMP1
ENST00000390157.2	ENSG00000211491	MIR320D1
ENST00000384919.1	ENSG00000207652	MIR621
ENST00000432905.1	ENSG00000168852	TPTE2P5
ENST00000439682.1	ENSG00000233917	POTEB
ENST00000361285.4	ENSG00000166157	TPTE
ENST00000564506.1	ENSG00000260245	ACLY
ENST00000458172.1	ENSG00000176268	CYCSP34
ENST00000304932.4	ENSG00000239827	SUGT1P3
ENST00000423358.2	ENSG00000229473	RGS17P1
ENST00000577639.1	ENSG00000264226	MIR3168
ENST00000362828.1	ENSG00000199698	Y_RNA
ENST00000491551.2	ENSG00000244264	RN7SL597P
ENST00000433101.1	ENSG00000227716	AP000459.7
ENST00000400429.3	ENSG00000215482	CALM2P3
ENST00000441465.1	ENSG00000231986	AP000474.1
ENST00000458837.1	ENSG00000238651	snoU13
ENST00000450245.1	ENSG00000225133	MORF4L1P4
ENST00000447405.1	ENSG00000235564	AP000477.2
ENST00000416129.2	ENSG00000231404	RAC1P3
ENST00000434859.1	ENSG00000226996	AP000477.3
ENST00000583122.1	ENSG00000264695	RP11-178F10.2
ENST00000411348.1	ENSG00000223280	RNU6-57P
ENST00000448063.1	ENSG00000224018	AP000470.2
ENST00000581648.1	ENSG00000266489	RP11-178F10.3
ENST00000454403.1	ENSG00000214222	TUBBP2
ENST00000416218.1	ENSG00000224832	AP000469.2
ENST00000578499.1	ENSG00000266181	RP11-178F10.4
ENST00000419933.1	ENSG00000205240	OR7E36P
ENST00000453784.2	ENSG00000237484	AP000476.1
ENST00000577994.1	ENSG00000265485	RP11-449D8.1
ENST00000412208.1	ENSG00000234655	OR7E155P
ENST00000578490.1	ENSG00000263553	RP11-449D8.2
ENST00000578535.1	ENSG00000266520	RAC1P1
ENST00000421076.1	ENSG00000215480	OR7E37P
ENST00000579571.1	ENSG00000266809	RP11-449D8.3
ENST00000584422.1	ENSG00000263907	AL354833.1
ENST00000582650.1	ENSG00000266573	RP11-449D8.5
ENST00000582215.1	ENSG00000263928	AL354833.2
ENST00000582164.1	ENSG00000264042	AL354833.3
ENST00000583027.1	ENSG00000264190	MIR5006
ENST00000463999.2	ENSG00000241406	RN7SL515P
ENST00000384235.1	ENSG00000206962	RNU6-74P
ENST00000580984.1	ENSG00000264345	RP11-958F21.1
ENST00000451871.1	ENSG00000229696	KARSP1
ENST00000427605.1	ENSG00000229248	WBP2P1
ENST00000435020.1	ENSG00000226093	RPS28P8
ENST00000413246.1	ENSG00000231530	RP11-187A9.3
ENST00000578129.1	ENSG00000265552	RP11-958F21.3
ENST00000403865.2	ENSG00000237263	MAPK6PS3
ENST00000580645.1	ENSG00000264434	CTD-2006O16.2
ENST00000582753.1	ENSG00000265679	AL139328.1
ENST00000486780.2	ENSG00000242216	RN7SL97P
ENST00000604283.1	ENSG00000270809	CHCHD2P11
ENST00000583887.1	ENSG00000264193	RP11-737G21.1
ENST00000442741.1	ENSG00000234213	FHP1
ENST00000468051.1	ENSG00000243925	RPS24P18
ENST00000569541.1	ENSG00000260703	TTC25
ENST00000458199.2	ENSG00000233259	FABP3P2
ENST00000307796.6	ENSG00000188985	DHFRP1
ENST00000604485.1	ENSG00000271216	LINC01050
ENST00000415620.1	ENSG00000229546	LINC00428
ENST00000578162.1	ENSG00000266227	NPM1P2
ENST00000396712.2	ENSG00000238025	ZDHHC4P1
